word 	count	meaning	 posone 	 postwo 	 sentence 
agi daw	7	oh, my!; alas!; gee!	intrj.		 8 Dad on ko naman kamo ,ngadi ha kagurangan Agidaw kalbo na adton kakahoyan Katamsihan ngan hayop,waray na sisirongan Dayon hira mawawara,ngan kita pagbabaha an 9 Sangkay tingali maaram ka Global warming ngan krisis ekonomiya umabot na Bisan hen-o ka man apektado ka Bulig pangin labot,yana umaksyon ka 10 Maupay nga buhat,hadton taga baryo Dasig ngan dungog hadton munisipyo Tagsa tagsa nga probinsya hini ma benipisyo An pobre nga nasyon,padayon an progreso 11 Simple gadla sangkay,inin akon polong Tumlikod ka man lakip ka gihapon Sistema ekolohiya,I reporma yana dayon Tanan magburoblig ,kalibutan pagsalbaron 12 Akon gadla hingyap,kita in pumaid Ha maupay nga tinguha kita magburoblig Eksakto nga pag gawi han mga butang ipabilib An kalibutan nasalbar mo,waray na malupig 13 Dayon nga utda na gawi nga waray data Kahanginan,kalibungan,kadagatan,ug kagurangan ugopan ta Ka rikohan durot han taglarang,pag preserba kita Agud sunod nga mga lahi,may matagam taman pa, 14 Positibo ngan susbaranan nga buhat,idurot ha taglarang Ngan an iya mga ginhatag,hingpit nga pagtipigan Pitad tipa unhan,ngadto dalan han kauswagan Kita magpupuyo puno hin paglaum ha kalibutan 15 Unta gindultan ka hinin akon pulong Sumulod ha kasing kasing akon pamalandong Kay inin akon siday sistema ekolohiya in salbaron Sugad han ginbuhat,han aton makagarahom 1 Agidaw kamarisyo han ngaran nga huygo Anuman nga adlaw waray gud diskanso Nadugang ka komplikado kinabuhe han tawo Akon sagdon sangkay ayaw na pag utro 2 Imo unta dumdumon an imo pamilya Lakip han pag antos bisyo mo nga waray kwenta Imo ihuroygo gastoson ha pamilya Halawig nga panahon hira marayhak pa 3 Sangkay ayaw pakabungol an mata ipukrat gad Kabubwason han pamilya aada ha imo palad Ha huygo nga bisyo damo na an sumanglad Papasagdan mo la ba mga anak magburoblag
agsob	7	always; frequently; often times; most of the time; to do the same	mod.		 Ini nga porma diri hikakagian dinhi hini nga mga DYVL siday nga agsob nagtitinabok tabok hin tema
aringasa	7	noise; disturbance; uproar;  disturbance	n.		 ” Waray la it’ hin aringasa
ate	7	older female 	n.		 Namatyan hin tatay an ak sangkay, hi ate Belen
balo	7	1 widow; widower 2 prank of spirit/elemental  on human	n.	v.	 Tikang la hira magkanawong-nawong ngan han balo nga Pikong, pirmi na hiya nakatakgong, pero amo la gihap, iya lawas tadong
baraan	7	holy; sacred	n.	mod.	 Ako nakilala kon hin-o ikaw, an Baraan han Dios
barko	7	boat; ship	n.		 Han waray pa kabungkag ito nga Can omantag may ada nagpipinakita nga barko
bendisyon	7	blessing; benediction	n.		 ngan ikaw mahihimo nga bendision Gen 12 3 Ngan akon pagbibendisionan ad-ton magbibendision ha imo, ngan ad-ton magtatampalas ha imo, akon pag-dadauton ngan ha imo an ngatanan nga mga panimalay ha tuna mabu-bulahan
bilin	7	1 residue; remnant; remainder 2 heir; person left behind as in-charge; baby sitter	n.	mod.	 Dinhi ka la, bilin ko niyan nga gab i kay makadto ako kanda nanay
binubuhat	7	being done	v.		 Pero, mayda mga paningkamot nga binubuhat an pipira nga magsusurat yana nga ibalik an dignidad ha aton kalugaringon kultura, labi na an ha pinulongan
binuhatan	7	doings 	n.		 Ada, siring han huwes, gin ano ka, waray, ano man nga kasugad, sugad hini Ini nga kapitan hadto nga panahon gintikas ako hini, nagbabalyo la ako hin bugas han akon kwentas, gintikas ako, ini nga kabataan, akon ini mga anak, ginmaneho ko an nga tanan nga hitabo, akon adto binuhatan kay nakasabot ako nga ini nga kabataan, akon ini mga anak
boses	7	voice	n.		 Matungod nga nagamit manggod hin boses an radyo—ngan waray pa makaugsad tikadto han panahon han pag imprenta—nagin lugar hiya han mag upay mamagoratoryo ngan deklamasyon
bugas	7	rice 	n.		 Ada, siring han huwes, gin ano ka, waray, ano man nga kasugad, sugad hini Ini nga kapitan hadto nga panahon gintikas ako hini, nagbabalyo la ako hin bugas han akon kwentas, gintikas ako, ini nga kabataan, akon ini mga anak, ginmaneho ko an nga tanan nga hitabo, akon adto binuhatan kay nakasabot ako nga ini nga kabataan, akon ini mga anak
buhis	7	tax; public contribution; levy; duty	n.		 Nga han hadto nga mga panahon, an mga prinsesa, may ‘da hiton nanngangaro, kuno, iton hin buhis
buho	7	hole; perforation; puncture; pit; excavation	n.	verb	 ” Nga l’ong, “Han diri pa ako buho, sinirong ako han ak’ agaron, niyan han buho na ako, iginpaanod ako
bukaw	7	owl	n.		 Agidaw gidaw an bukaw Naglupad lupad ha igbaw Agidaw gidaw an gitgit Naglupad lupad ha langit Agidaw gidaw an bukaw Naglupad lupad ha igbaw Agidaw gidaw an gitgit Linmupad ha langit Enero, Pebrero, Marso, Abril, Mayo, Hunyo, Hulyo, Agosto, Setyembre, Oktubre, Nobyembre, Desyembre, Lubi lubi
burabod	7	spring	n.		 \tGen 7 11 Han ikaunum ka gatus ka tuig han kan Noe kinabuhi, ha ikaduha ka bulan, ha ika napulo kag pito ka adlaw han bulan, hadto nga adlaw an ngatanan nga mga burabud han kahiglaruman han dagat nakabubungkag, ngan an mga tamboanan han langit nagkabubuksan
burikbutik	7	multi-colored; spotted	mod.		 Gen 30 32 Ako maagi ha butnga han imo kapanon nga karnero yana, ngan iwa-wahig ko tikang didto an ngatanan nga borikbotik ngan tagiptipon, ngan tagsa ka itum han mga karnero, ngan mga tagiptipon ngan mga borikbotik han mga kanding ngan sugad hito an akon suhul
burod	7	pregnant	mod.	n.	 ” Niyan may usa nga padi, an padi dida han bungto, may ada bugto nga daraga, niyan ini nga daraga may uyab, burod ini nga manghod han padi
dagos	7	immediately after;  soon after; instantly;  as soon as	mod.		 An ine nga pikoy nga pikoy paglupad murayaw Natuntong han sanga dagos paparayaw Binuklad an pako, an pako daw hilaw nga dahon An iya pagrayhak nga ak ginkinantahan
dako-dakoan	7	so big; biggest; so huge;	mod.		 Diri ngay-an dako nga bato nga ira ginsirongan kundi usa nga dako-dakoan nga bako nga nagngangaranga
dali-dali	7	hurry; hurry up; go in a hurry;  work a thing as fast as possible	mod.		 Dali-dali hira ikinasal nga siring pa niya, bisan hiya may pagbasol, iya na la ini ginkinimkim kay an iya asawa duro gud an gugma ha iya
dulagnon	7	a person from Dulag, Leyte	n.	mod.	 dri na gad kita angay mgka durodeperensya kon ano an aton political views bisan ano pa iton nga view mpa side view pa balit angay gad tagan ta hin maupay nga pg tagad an aton bungto sugad man han mga hagrani nga mga municipalidad sulibangko inin aton mr eric lagunzad inin environmentalist ada ini hya myda nya photographers eyes na dapat mka pukaw na ha aton mga dulagnon
durante	7	during	mod.		 Ini an pahayag ni Deputy Presidential Spokesperson Abigail Valte durante san press briefing sa malakanyang
ginikanan	7	parent; parents	n.		 Han nagtutubo na hiya, waray adlaw nga di hiya nagpapasalamat han Diyos nga gin karawat hiya han ginikanan ni iya nanay
ginkadto	7	went there	v.		 Katima, ginkadto an ak’ Tatay
ginuwa	7	came out;  showed up (stative) 	v.		 \tGen 14 8 Ngan ginowa an hadi ha Sodoma, ngan an hadi ha Gomorra, ngan an hadi ha Adma, ngan an hadi ha Se-boim, ngan an hadi ha Bela nga amo an Soar
halaran	7	place for offerings 	n.		 \tGen 8 20 Ngan hi Noe nagtukud hin hala-ran ha Dios, ngan kinuha han tagsa ka malinis nga mananap, ngan han tagsa ka malinis nga tamsi, ngan naghalad ha bawbaw han halaran hin mga halad nga sinunug
hiagian	7	1 to find; to  see while passing by  2 be able to find	v.		 ” “Aw…” nasiring ako nga ginkakanta Kun mapatay ako nga waray ka dida Kadtoa it ak’ lubong ngan panginanoa Kun hiagian mo iton krus ko buhi pa Halari gad, Marvin, kay Marvin man an ngaran bis’ la makausa Kun mamatay ako ngan waray ka dida, Kay siguro it’ ak’ kalag kondenado ada, Diri makondenar hin ano nga tanan Kondenado ako tungod gud ha imo
hikakagian	7	can be found	v.	mod.	 Makasurobo hunahunaon nga yana ini nga mga kondisyones diri hikakagian ha Waray
hilarom	7	deep; profound	mod.		 Hira in may hilarom ngan tinuod nga pagmayuyo han Waray, ira pa ngani ginpapasigarbo an kultura hini
hin-agian	7	was found; was seen by passerby	v.	mod.	 \tMar 14 37 Ngan hiya inabut, ngan hinagian hira, nga nangangaturog
hinbatian	7	was heard	v.	n.	 Sige an ira ngisi ngisi ngan han nakasakay na hi Anna, akon hinbatian an ira uroistorya
hingpit	7	perfect; best; ideal; sublime 2 to have perfect hope; to have full faith	mod.	v.	  An Iroy nga Tuna matam is pagpuy an Bisan diin siplat puros kasangkayan Hahani an hingpit nga ak kalipayan Hahani hira nanay pati kabugtuan
huhunahunaon	7	will ponder; will reflect; will contemplate	v.		 Pero kun huhuna-hunaon hin tul-id, ini nga siday naglalatag han pipira nga kabutang diin naturok an kinabuhi hin inasaw-an
ibalik	7	return; give back; restore (imperative)	v.		 Pero, mayda mga paningkamot nga binubuhat an pipira nga magsusurat yana nga ibalik an dignidad ha aton kalugaringon kultura, labi na an ha pinulongan
ighahatag	7	1 will give; will distribute 2 will be given; will be distributed (imperative)	v.		 Nga l’ong, “Ini an kamatuoran, ighahatag ko ha im’ it’ kaha
iginlubung	7	buried; interred;  entombed (instrumentative)	v.		 Gen 23 19 Ngan human him, kan Abraham iginlubung hi Sara nga iya asawa ha sakub han lungib ha uma ha Mak-pela ha atbang ha Mamre nga amo an Hebron, ha tuna ha Kanaan
iglubung	7	bury; entomb; inter (imperative)	v.		 ikaw an principe han Dios ha butnga na-mon ha gimaoopay-i han amon lub-nganan iglubung an imo minatay waray ha amon nga makakagdiri ha imo han iya lubnganan, basi nga ikaw maglubung han imo minatay
ika-duha	7	second (ordinal numeral)		num.or.	 \tGen 30 12 Ngan hi Silpa naganak han ika-duha nga anak nga lalaki ha kan Jakob
inenglis	7	in English	n.	mod.	 Baga weird inin iya titulo kay inenglis pero Winaray an kaurog han iya mga siday
inukoy	7	1 to stop; stopped 2 to idle away time 3 to stay	v.		 Nabatian ni DODONG an pagtinawag han iya lola, sanglit inukoy hiya hin mulay nga ginsigngan an mga sangkay na hira na la an magbantay han manogbanog anay
itinubyan	7	turned over; entrusted; committed; handed over	v.		 Gen 32 16 Ngan iya itinubyan ini ha kamot han iya mga sorogoon, an tagsa ka panon ha iya kalugaringon, ngan sin-miring ha iya mga sorogoon Paguna kamo ha akon, ngan pag antaw-an-tawa an mga panon
kaagahon	7	dawn; aurora; early morning	n.		 Nabaruan ko tikang ha ak bugto nga nagmamata ngay an hiya kada alas tres han kaagahon para magrosaryo ngan magnovena para ha akon
kaagi	7	experience; story; tale; history	n.		 Ini nga libro an inulang han magkadirodilain nga at’ kaagi
kadagatan	7	ocean; deep sea;  2 oceans; deep seas; seas	noun		 Imo la ginlimot o ginsalikway Hain na an harok sadton imo mga im im Ginpasipara o ginlimot o ginkawangMga balud  Nagpapasibo ha kadagatan Kakuri gud mahidakpan Inin balud Ha baras napulilid Kun diri hira nag iisog Hay Intoy, Kamakuri mo pagdad on  Baga baga ka gud la Hinin balud Kun nasisina nalakat ka Mag uusahan ako, tabi
kagamhanan	7	power; authority 2 powerful	n.	mod.	 \tGen 1 26 Ngan an Dios siniring Paghi-moon naton an tawo ha aton lada-wan, ngan ha aton panagway ngan hira ma may kagamhanan ha baw-baw han mga isda han dagat, ngan ha bawbaw han katamsihan han mga langit, ngan ha bawbaw han kaba-kahan, ngan ha bawbaw han bug-os nga tuna, ngan ha bawbaw han ngatanan nga nag oosoy ha bawbaw han tuna
kakulba	7	 1 dread; fear  2 fearsome; frightening 	n.	mod.	 Adto na’n adlaw, nagligidligid Didto huhuron, luyo han bukid Bunyog panguli an katamsihan Nahadlok bangin magab ihanKon harapit na an adlaw matunod Ngan ha imo hirayo ako Naputok an kakulba ha dughan Ngan kamingaw asay gud dako
kalsada	7	pavement; street; road	n.		 Ha giri han pader ha giak han konkreto nga kalsada ug naghihingataoy nga saruyong mayko nasaygan
kandidato	7	candidate	n.		 Kandidato ka Sangguniang Bayan hiya pero guwapo nga kandidato
kanina	7	a while ago; a few minutes ago; before; prior	mod.		 ” Linalantaw han usa nga Waraynon nga waray niya hul os nga gahum ha iya kinabuhi, siring ko pa man kanina
kapitan	7	captain; master of  a vessel 2 head of a barangay	n.		 Hala, kay waray man ito pakakita an kapitan han babayi, largo man ito ginkaptan ngan pasak on ngadto han barko, waray man ito balyoa nga kwentas, an babayi lugod gintikas
karasa	7	1 tasty; savory; delicious; sweet  2 pleasurable 	mod.		 Ngalaong, “Senior Hadi, karasa hiton bag o nga mag asawa nga may hayop nga pikoy, pagkuha kita
kasakit	7	1 grief; sorrow; pain 2 painful; sorrowful	n.	mod.	 \tGen 42 21 Ngan hira siniring ha usa kag usa Mga salaan gud kita mahatu-ngud han aton bugto, dida hito aton nakita an kasakit han iya kalag, han iya panginyupo ha aton, ngan waray kita pamati
kasinahon	7	grudge; ire; anger; detestation; exasperation; abrasion	n.		 ” Kasinahon man hini nga amo, kay waray hiya pakakadaop kay halarom an tubig
